,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
47,ND,"lat:47.17777274, long:-103.4300083","When Theodore Roosevelt came to Dakota Territory to hunt bison in 1883, he was a skinny, young, spectacled dude from New York. He could not have imagined how his adventure in this remote and unfamiliar place would forever alter the course of the nation. The rugged landscape and strenuous life that TR experienced here would help shape a conservation policy that we still benefit from today.",National Park,thro,B5FE5682-7981-47DD-AC96-13F4B33A466E,"Theodore Roosevelt National Park is located in the Badlands of western North Dakota. 
There are three units to the park. The South Unit entrance is in the town of Medora, ND off of Interstate 94 exits 24 and 27. The North Unit entrance is on Highway 85 approximately 14 miles south of Watford City, ND. The remote Elkhorn Ranch Unit sits roughly in the middle of the North and South Units and is accessed via gravel roads. Consult park staff for directions to the Elkhorn Ranch Unit.",http://www.nps.gov/thro/planyourvisit/directions.htm,Theodore Roosevelt National Park,https://www.nps.gov/thro/index.htm,"In winter, some or all park roads may be closed due to snow.",Theodore Roosevelt
48,DC,"lat:38.88101431, long:-77.03632572","Author of the Declaration of Independence, statesman and visionary for the founding of a nation.",,thje,2D0C31DF-BE78-42A8-812E-1A44602B3D40,"GPS Coordinates: 38.881387, -77.036508

Thomas Jefferson Memorial is part of the National Mall and Memorial Parks. The site lies at the southern end of the National Mall, adjacent to the Tidal Basin in West Potomac Park. The memorial rests within the sightline to and from the White House, which stands one mile to the north.",http://www.nps.gov/thje/planyourvisit/directions.htm,Thomas Jefferson Memorial,https://www.nps.gov/thje/index.htm,"Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter.

Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees

Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees

Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees

Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees

(Source: www.usclimatedata.com)",Thomas Jefferson Memorial
49,VA,"lat:37.38623205, long:-76.29900672","Discover what it took for the United States to be independent as you explore the site of the last major battle of the Revolutionary War.  Here at Yorktown, in the fall of 1781, General George Washington, with allied American and French forces, besieged General Charles Lord Cornwallis’s British army.  On October 19, Cornwallis surrendered, effectively ending the war and ensuring independence.",Part of Colonial National Historical Park,york,D09FF0F8-B16E-4D2B-9C37-03202D6B8176,"For an internet map search or GPS, use the following:
Yorktown Battlefield Visitor Center, 1000 Colonial Parkway, Yorktown, Virginia 23690.

Eastbound from the Richmond area via I-64, exit 242B for Yorktown, to the Colonial Parkway. Follow the parkway to its end. West bound Interstate 64 from the Virginia Beach/Norfolk/Hampton area for Yorktown should take Route 105 East (Fort Eustis Boulevard east), exit 250B to Route 17. Turn left  onto Route 17. Follow the signs to Yorktown Battlefield.",http://www.nps.gov/york/planyourvisit/directions.htm,Yorktown Battlefield Part of Colonial National Historical Park,https://www.nps.gov/york/index.htm,"Yorktown, VA climate is warm during summer when temperatures tend to be in the 80's and cold during winter when temperatures tend to be in the 30's.

The warmest month of the year is July with an average maximum temperature of 89.00 degrees Fahrenheit, while the coldest month of the year is January with an average minimum temperature of 28.10 degrees Fahrenheit.    

For closures in due to inclement weather at Colonial National Historical Park please phone this 24 hour phone number (757) 856-1240.",Yorktown Battlefield
50,MD,"lat:39.46763452, long:-77.73828017","23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",National Battlefield,anti,8415526C-C932-4236-A634-2D89DF718936,Ten miles south of I-70 on Maryland Route 65,http://www.nps.gov/anti/planyourvisit/directions.htm,Antietam National Battlefield,https://www.nps.gov/anti/index.htm,The weather is fairly mild.  Summers can be very warm and humid and winters cold and snowy.  We have four distinct seasons with the fall and spring being the best times to visit the battlefield.,Antietam
51,"MD,VA","lat:38.05593172, long:-75.24524611","Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",National Seashore,asis,307BE169-345D-472C-8128-20F1D59864A7,"There are two entrances to Assateague Island National Seashore. Assateague's north entrance is at the end of Route 611, eight miles south of Ocean City, MD. The south entrance is at the end of Route 175, two miles east of Chincoteague, VA. There is no vehicle access between the two entrances on Assateague Island. Vehicles must return to the mainland to access either the north or south entrance.",http://www.nps.gov/asis/planyourvisit/directions.htm,Assateague Island National Seashore,https://www.nps.gov/asis/index.htm,"Spring: Often windy and cool with lows in the 40's and highs in the 60's.
Summer: Hot and humid with lows in the 60's and highs in the 80's.
Fall: Warm with lows in the 50's and highs in the 70's.
Winter: Damp cold and often windy. Lows in the 20's, highs in the 40's.",Assateague Island
52,SD,"lat:43.68584846, long:-102.482942","The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient mammals such as the rhino, horse, and saber-toothed cat once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",National Park,badl,B170CCF7-7AB9-48FF-950E-31815FD4DBB2,"Badlands National Park is located 75 miles east of Rapid City, South Dakota.

Physical Addresses for GPS*

Park Headquarters: 25216 Ben Reifel Road, Interior, SD 57750.
Northeast Entrance (I-90, Exit 131): 21020 SD Hwy 240, Interior, SD 57750.
Pinnacles Entrance (I-90, Exit 110): 24240 Hwy 240, Wall, SD 57790.
Interior Entrance: 20640 SD Hwy 377, Interior, SD 57750.",http://www.nps.gov/badl/planyourvisit/directions.htm,Badlands National Park,https://www.nps.gov/badl/index.htm,The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.,Badlands
53,MD,"lat:39.2904968261719, long:-76.6284027099609","For nearly three centuries, Baltimore has stood as a center of commerce and culture for the Chesapeake Bay. The city has seen the incredible transformation of American identity, shaped by war, prosperity, and struggles for freedom and civil rights. Visit the Baltimore National Heritage Area to experience the places and people that shaped the nation and forged the American identity.",National Heritage Area,balt,35C584AF-5849-4152-8248-2E61993289C2,The 18.2 square miles of the Baltimore National Heritage Area encompass the city's oldest neighborhoods as well as the downtown and waterfront areas.,http://www.nps.gov/balt/planyourvisit/directions.htm,Baltimore National Heritage Area,https://www.nps.gov/balt/index.htm,Weather can be extremely hot in the summer and extremely cold in the winter. Fall and spring very pleasant.,Baltimore
54,TX,"lat:29.29817767, long:-103.2297897","There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",National Park,bibe,C9056F71-7162-4208-8AE9-2D0AEFA594FD,"Several highways lead to Big Bend National Park: TX 118 from Alpine to Study Butte or FM 170 from Presidio to Study Butte (then 26 miles east to park headquarters) or US 90 or US 385 to Marathon (then 70 miles south to park headquarters). 

Distances between towns and services are considerable. Be sure you have plenty of gas, oil, food, and water for your trip.",http://www.nps.gov/bibe/planyourvisit/directions.htm,Big Bend National Park,https://www.nps.gov/bibe/index.htm,"Variable
-- February through April the park abounds with pleasant and comfortable temperatures.
-- May through August is hot and can also be stormy. Temperatures regularly reach well over 100 degrees in the lower elevations and along the Rio Grande.
-- September through January temperatures are cooler; the weather can quickly turn cold at any time during these months.",Big Bend
55,FL,"lat:25.97079602, long:-81.08120629","The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Protecting over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to a diversity of wildlife, including the elusive Florida panther.",National Preserve,bicy,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,Big Cypress is located along the Tamiami Trail East and I-75 in southern Florida.  The preserve can be accessed by driving from Miami and Naples. The preserves two visitor centers are located along Tamiami Trail East.,http://www.nps.gov/bicy/planyourvisit/directions.htm,Big Cypress National Preserve,https://www.nps.gov/bicy/index.htm,"Big Cypress National Preserve experiences two predominant seasons- wet and dry.

RAINY SEASON
(May through October)
While visiting during this season you may find daily afternoon thunderstorms, high humidity, temperatures in the mid - to - high 80s and a multitude of mosquitoes. 

DRY SEASON
(November through April)
Falling water levels within the Big Cypress make this a pleasant time to hike, camp, and watch wildlife.

For more information visit http://www.nps.gov/bicy/planyourvisit/weather.htm",Big Cypress
56,"NC,VA","lat:36.53386746, long:-81.0420999","A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",Parkway,blri,712044CE-4C85-48C2-813E-310A9C6C74E1,"The Parkway is a 469 mile long scenic road connecting Shenandoah National Park in Virginia to Great Smoky Mountains National Park in North Carolina. There are numerous places to get on and off near interstate crossings and other federal and state highways. There are markers every mile along the Parkway, counting from 0-469 through Virginia and North Carolina. We suggest using a map and identifying the area you want to go, as GPS directions often do not understand our milepost system.",http://www.nps.gov/blri/planyourvisit/directions.htm,Blue Ridge Parkway,https://www.nps.gov/blri/index.htm,"The weather on the Parkway can vary wildly due to different elevations and locations along the 469 mile stretch. Precipitation is possible any time of the year. Winter can be cold and snowy, especially at the higher elevations. Spring and fall can have large temperature swings, from near freezing to over 70 degrees Fahrenheit. Summers can be hot in the lower elevations, but the highest elevations will remain cool. The mountains can also create summertime thunderstorms, so be prepared for weather changes.",Blue Ridge
57,MA,"lat:42.35908295, long:-71.06764181","Centered on the north slope of Beacon Hill, the African American community of 19th century Boston led the city and the nation in the fight against slavery and injustice. These remarkable men and women, together with their allies, were leaders in Abolition Movement, the Underground Railroad, the Civil War, and the early struggle for equal rights and education.",National Historic Site,boaf,87F00684-8E1F-4E12-B463-2B5B929A0C74,"Site administrative offices are located at 15 State Street.  However, Ranger programs begin at either the Robert Gould Shaw Memorial on Beacon Street, or at the Museum of African American History at 46 Joy Street on Beacon Hill.",http://www.nps.gov/boaf/planyourvisit/directions.htm,Boston African American National Historic Site,https://www.nps.gov/boaf/index.htm,"Boston African American National Historic Site is located in downtown Boston which can see extreme cold in the winter months, as well as extreme heat and humidity throughout the summer months.  Walking tours may be cancelled during severe heat and/or weather events.",Boston African American
58,LA,"lat:31.65408447, long:-93.00131977","The Cane River region is home to a unique culture; the Creoles. Generations of the same families of owners and workers, enslaved and tenant, lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.",National Historical Park,cari,55ABA58B-B19E-4851-BDE1-1C0712B2BE2C,"To reach Oakland Plantation, take I-49 to Exit 127, Flora/Cypress. Head east on LA Highway 120 toward Cypress. Cross over LA Highway 1 onto LA Highway 494. The parking lot and entrance pavilion for Oakland is 4.5 miles east of Highway 1 on the left.

To reach the grounds of Magnolia Plantation, take I-49 to Exit 119, Derry. Head east on LA Highway 119. Cross over LA Highway 1 and proceed for 1.1 miles. The parking area of Magnolia Plantation is on the right just before the road closure.",https://www.nps.gov/cari/planyourvisit/directions.htm,Cane River Creole National Historical Park,https://www.nps.gov/cari/index.htm,"Weather in central Louisiana can be unpredictable. Summers are hot and humid. Winter is relatively mild with measurable snowfall every 5-10 years. Average rainfall is approximately 55-60 inches per year. The area is also subject to severe thunderstorms, hail, damaging winds, and tornadoes. Visitors might want to bring hats, umbrellas, and drink plenty of water. Please check the local weather forecast before planning your visit to the park.",Cane River Creole
59,UT,"lat:38.24555783, long:-109.8801624","Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",National Park,cany,319E07D8-E176-41F8-98A9-1E3F8099D0AB,"Canyonlands National Park is cut into three districts by the Green and Colorado rivers. Island in the Sky district, in the north of the park, is the closest district to Moab, UT. In about 40 minutes, you can reach Island in the Sky via UT 313. The Needles district is in the southeast corner of Canyonlands. The Needles is about an hour's drive from Monticello, UT via UT 211. The Maze district, in the west of the park, is the most remote and challenging. You can reach The Maze via unpaved roads from UT 24.",http://www.nps.gov/cany/planyourvisit/directions.htm,Canyonlands National Park,https://www.nps.gov/cany/index.htm,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.",Canyonlands
60,DC,"lat:38.889993, long:-76.990332","The Capitol Hill Parks include several park areas east of the U.S. Capitol. Included in this group are Folger, Lincoln, Stanton, and Marion Parks, the Eastern Market and Potomac Avenue Metro stations, and several smaller land parcels such as Seward Square, Twining Square, the Maryland Avenue Triangles, the Pennsylvania Avenue Medians, and 59 inner-city triangles and squares.",,cahi,96DC2172-0201-4ABB-BD77-2687F4726C9B,,http://www.nps.gov/cahi/planyourvisit/directions.htm,Capitol Hill Parks,https://www.nps.gov/cahi/index.htm,"Winter: Temperatures usually range from 30 to 50 F. There is occasional snow.

Spring: Temperatures usually range widely from 40 to 70 F. Rain is common.

Summer: Temperatures usually range from 70 to 90 F. Humidity is usually high. Be prepared and drink plenty of water. There is a water fountain in the visitor center.

Fall: Temperatures usually range widely from 40 to 70 F. Humidity can remain high in the earlier part of the season.",Capitol Hill Parks
61,NY,"lat:40.70347795, long:-74.01680558","Located at the southern tip of Manhattan Island, Castle Clinton stands where New York City began, and represents not only the city’s growth, but the growth of a nation. Initially intended to prevent a British invasion in 1812, the fortification has transformed over the years to welcome theatergoers, immigrants, sightseers, and now, millions of visitors to New York Harbor.",National Monument,cacl,061F7BA2-8C57-4471-A31E-302AD99E3F6A,"Castle Clinton is located in historic Battery Park. It is only directly accessible by foot, bicycle, or wheelchair. You cannot drive directly to the site. Local parking is nearly impossible to find and expensive. All public transportation options are located outside of Battery Park.",http://www.nps.gov/cacl/planyourvisit/directions.htm,Castle Clinton National Monument,https://www.nps.gov/cacl/index.htm,"Castle Clinton National Monument has a variety of weather. New York City has hot summers and cold winters. Spring can have heavy rains and Autumn can be cool. 
http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ",Castle Clinton
62,NM,"lat:36.03963414, long:-107.9560076","Today the massive buildings of the Ancestral Puebloan people still testify to the organizational and engineering abilities not seen anywhere else in the American Southwest. For a deeper contact with the canyon that was central to thousands of people between 850 and 1250 A.D., come and explore Chaco through guided tours, hiking & biking trails, evening campfire talks, and night sky programs.",National Historical Park,chcu,9C730246-CCB2-496F-AD0E-1D31D76C4C45,Road conditions can be rough or impassable. Please call in advance for updates.,http://www.nps.gov/chcu/planyourvisit/directions.htm,Chaco Culture National Historical Park,https://www.nps.gov/chcu/index.htm,"Summer highs are typically in the 80's to mid-90's. Thunderstorms can produce heavy localized downpours and sudden dramatic drops in temperatures.

Winter temperatures will drop to well below freezing most nights. If you plan to camp in the winter, prepare for nighttime temperatures in the teens or lower.

Spring and Fall are great times to visit with more moderate temperatures, but unexpected storms can change things dramatically. Monitor local weather forecasts.",Chaco Culture
63,"GA,TN","lat:34.94317623, long:-85.28749537","In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy.""",National Military Park,chch,FD536267-125D-4CEB-8978-2B2767C3B2FF,"From I-75, take exit 350 onto Battlefield Parkway (GA HWY 2) and continue to the intersection of Battlefield Parkway and LaFayette Road. Turn left onto LaFayette Road and continue for approximately 1 mile. The visitor center will be on the right. 

From I-24, take exit 180 onto Rossville Boulevard (US HWY 27). Continue south to the intersection of Battlefield Parkway. Drive through the intersection, continuing on the LaFayette Road. The visitor center will be on the right.",http://www.nps.gov/chch/planyourvisit/directions.htm,Chickamauga & Chattanooga National Military Park,https://www.nps.gov/chch/index.htm,"The climate in northern Georgia is generally temperate. Short, cool winters give relief from hot summers. Most visitors enjoy this area during long, mild fall and spring seasons.",Chickamauga & Chattanooga
64,CO,"lat:39.05045016, long:-108.6920709","Colorado National Monument preserves one of the grand landscapes of the American West. But this treasure is much more than a monument. Towering monoliths exist within a vast plateau and canyon panorama. You can experience sheer-walled, red rock canyons along the twists and turns of Rim Rock Drive, where you may spy bighorn sheep and soaring eagles.",National Monument,colm,EC5A2653-4470-46E7-8B57-30B8ADE46445,"Driving
Westbound on Highway I-70 towards Grand Junction, Exit 31 (Horizon Drive).
Follow signs through Grand Junction to the east entrance. The visitor center and campground are 19 miles from the east entrance.

Eastbound on Highway I-70 take Exit 19 (Fruita). Turn south on Highway 340 to the west entrance, which is approximately three miles from Fruita. The visitor center and campground are four miles up from the west entrance.",http://www.nps.gov/colm/planyourvisit/directions.htm,Colorado National Monument,https://www.nps.gov/colm/index.htm,"Spring - Daytime high temperatures 70-85 F (21-30 C), nighttime low temperature 30-50 F (-1 - +10 C).
Summer - Daytime high temperatures can reach 100 F (38 C), afternoon thunderstorms common.
Fall - Similar to spring temperatures, sudden changes in weather common. Snow can occur in October.
Winter - Daytime highs vary from 10 - 45 F (-12 - +7 C). Snow common, patches of snow and ice stay around most of the winter.",Colorado
65,"KY,TN,VA","lat:36.62503076, long:-83.6114083","At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.",National Historical Park,cuga,F341E5A4-959B-4D87-B886-23A884633D33,"By Plane
The closest major airport is located in Knoxville, Tennessee approximately 85 miles away.  Flights can also be made into Lexington, Kentucky approximately 130 miles away.

By Car
The park entrance is located on Highway 25E just south of Middlesboro Kentucky.",http://www.nps.gov/cuga/planyourvisit/directions.htm,Cumberland Gap National Historical Park,https://www.nps.gov/cuga/index.htm,"Summers at Cumberland Gap are hot and humid, with temperatures commonly in the mid to upper 90s.

Winters are generally mild with rain and some periods of snow January through March. Temperatures usually range in the 30s and 40s. Weather can sometimes be unpredictable, especially at higher elevations.",Cumberland Gap
66,"CO,UT","lat:40.50739742, long:-108.9333714","Dinosaurs once roamed here. Their fantastic remains are still visible embedded in the rocks. Today, the mountains, desert and untamed rivers flowing in deep canyons, support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore.",National Monument,dino,061D9754-B947-48FD-99BE-1FE1AAD1BB90,"Dinosaur National Monument is located on the Colorado and Utah border with a parts of the monument in both states. Dinosaur fossils are not visible in the Colorado portion of the monument - only on the Utah side.

The Quarry Visitor Center and Exhibit Hall (where you see the dinosaur fossils) are located approximately 7 miles north of Jensen, Utah.",http://www.nps.gov/dino/planyourvisit/directions.htm,Dinosaur National Monument,https://www.nps.gov/dino/index.htm,"Dinosaur's climate is semiarid with temperatures averaging between 0°F to 30°F in January and 50°F to 100°F in July. Extreme winter low temperatures may reach -40°F and summer highs can top 110°F.  Elevations within the park vary between 4,700 and 9,000 feet. Winter snow may be heavy at higher elevations while only light to moderate snow is found at lower elevations. Summer thunderstorms may cause heavy downpours and localized flooding, but fail to dampen parched soils less than a mile away.",Dinosaur
67,NY,"lat:43.0179443359375, long:-75.9960784912109","Explore the Erie Canal and discover America's most famous and influential man-made waterway. Nowhere else will you find the distinctive locks and low bridges of the New York State Canal System or discover towns and cities whose watery front doors still give way to lively Main Streets. 

More than 500 miles of historic waterways and trails are here to explore.",National Heritage Corridor,erie,45092A32-3D9F-404B-96E7-2D0F792EFAE4,"Begin your journey in the east, west, or right in the middle of New York State, you can't go wrong-- the canal's treasures are strong together along the waterway like gems on a necklace.

The canal is accessible by CAR, RAIL, BIKE, and BOAT and from major airports: Albany International (ALB), Syracuse Hancock International (SYR), Greater Rochester International (ROC), and Buffalo-Niagara International (BUF).",http://www.nps.gov/erie/planyourvisit/directions.htm,Erie Canalway National Heritage Corridor,https://www.nps.gov/erie/index.htm,"Weather along the Erie Canalway National Heritage Corridor can vary greatly from one end of the Corridor to the other. Lake effect snows in winter from Buffalo to Syracuse may only be flurries by Utica, and merely cloudy skies in Albany. Clearing skies in Rochester may be the wake of a heavy thunderstorm that has moved on to Saratoga Springs.",Erie Canalway
68,CO,"lat:38.91260586, long:-105.2803396","Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.",National Monument,flfo,1F38885B-538E-499C-B5A6-30D76267AC7F,"Visitors traveling north/south on I-25: Exit at US 24 West, travel 35 miles to town of Florissant, then follow signs two miles south on Teller County Road 1 to the Visitor Center. Visitors traveling from town of Cripple Creek: Follow Teller County Road 1 north for 16 miles.",http://www.nps.gov/flfo/planyourvisit/directions.htm,Florissant Fossil Beds National Monument,https://www.nps.gov/flfo/index.htm,"Winter months - average high 40 degrees F; average low 5 degrees F;
Summer months - average high 75 degrees F; average low 40 degrees F;",Florissant Fossil Beds
69,AK,"lat:58.80086718, long:-136.8407579","Covering 3.3 million acres of rugged mountains, dynamic glaciers, temperate rainforest, wild coastlines and deep sheltered fjords, Glacier Bay National Park is a highlight of Alaska's Inside Passage and part of a 25-million acre World Heritage Site—one of the world’s largest international protected areas. From sea to summit, Glacier Bay offers limitless opportunities for adventure and inspiration.",National Park & Preserve,glba,3682DBDE-6746-4979-86CC-2358C5B72661,"Glacier Bay National Park and Preserve lies west of Juneau, Alaska, and can only be reached by plane or boat. The only road in the area merely connects the small town of Gustavus and its airfield to park headquarters at Bartlett Cove (10 miles). Alaska Airlines provides daily jet service from Juneau to Gustavus  in the summer months. Year-round scheduled air service is also provided by a variety of small air taxis and charters. The Alaska Marine Highway ferries also provide regular service from Juneau.",http://www.nps.gov/glba/planyourvisit/directions.htm,Glacier Bay National Park & Preserve,https://www.nps.gov/glba/index.htm,"Summer temperatures average 50° to 60° F (10° to 15° C). Rain is the norm in lush southeast Alaska. It is best to be prepared to enjoy the park in any kind of weather, especially rain. Suggested clothing includes waterproof boots, rain gear, a hat, gloves, wool or pile layers or a warm coat. Good rain gear is essential here. April, May and June are usually the driest months of the year. September and October tend to be the wettest.",Glacier Bay
70,MT,"lat:46.41358923, long:-112.7467024","Wide open spaces, the hard-working cowboy, his spirited cow pony, and vast herds of cattle are among the strongest symbols of the American West. Once the headquarters of a 10 million acre cattle empire, Grant-Kohrs Ranch National Historic Site preserves these symbols and commemorates the role of cattlemen in American history.",National Historic Site,grko,72A30002-12FA-4738-BCA7-1FA8062214CB,"Arriving from the east: Take Interstate 90, exit 187. Drive through town, approximately 2.5 miles. Turn left onto Grant Circle and enter the park. 

Arriving from the west: Take Interstate 90, exit 184. Turn right. Drive approximately 3/4 of a mile. Turn right on to Grant Circle and enter the park.",http://www.nps.gov/grko/planyourvisit/directions.htm,Grant-Kohrs Ranch National Historic Site,https://www.nps.gov/grko/index.htm,"Spring: Temperatures can fluctuate greatly. Sub-freezing temperatures in the morning can give way to mild days. Snow in early spring, rain in late season.

Summer: Temperatures can average 70-80 F, but can reach highs of 100 F. Rain rare. Dry and hot.

Fall: Temperatures can fluctuate greatly. Sub-freezing mornings can give way to mild days. Rain in early fall likely.

Winter: Temperature can fall to -30 F, with highs of 10-20 F. Snow is possible. Cold weather gear is highly recommended.",Grant-Kohrs Ranch
71,"WV,VA,MD","lat:39.31865949, long:-77.74088546","A visit to this quaint, historic community, at the confluence of the Potomac and Shenandoah rivers, is like stepping into the past.  Stroll the picturesque streets, visit exhibits and museums, or hike our trails and battlefields. Spend a day or a weekend.  We have something for everyone, so come and discover Harpers Ferry!",National Historical Park,hafe,2828F5DF-F4E9-48DE-9D4D-2EC39E0276B2,"Harpers Ferry NHP's Visitor Center is located along US Route 340 in West Virginia. The park entrance is 8 miles east of Charles Town, WV and 20 miles southwest of Frederick, MD.",http://www.nps.gov/hafe/planyourvisit/directions.htm,Harpers Ferry National Historical Park,https://www.nps.gov/hafe/index.htm,"Harpers Ferry experiences all four seasons - the cold and snow of winter, the rain and flowers of spring, the humidity and sunshine of summer, and the chill and leave change of fall. We will strive to keep you up-to-date as Harpers Ferry's landscape changes with the seasons.

To see the current weather or the forecasted weather for Harpers Ferry, please visit the National Weather Service site and set the zip code to 25425.",Harpers Ferry
72,PA,"lat:40.20610637, long:-75.76766355","Hopewell Furnace showcases an early American industrial landscape from natural resource extraction to enlightened conservation. Operating from 1771-1883, Hopewell and other ""iron plantations"" laid the foundation for the transformation of the United States into an industrial giant. The park's 848 acres and historic structures illustrate the business, technology and lifestyle of our growing nation.",National Historic Site,hofu,D709F8AB-E094-4C58-8B9E-2E4958AA2BF2,"On PA Route 345, 5 miles South of Birdsboro, Pennsylvania.",http://www.nps.gov/hofu/planyourvisit/directions.htm,Hopewell Furnace National Historic Site,https://www.nps.gov/hofu/index.htm,"Summers are generally humid with daily temps. averaging 83 degrees (F) for a high and 60 degrees (F) for a low.  Daily temps. in January average 38 degrees (F) for a high and 20 degrees (F) for a low.

Precipitation averages 3-5 inches of rain per month during spring, summer and autumn.  During winter conditions can be icy with snow accumulating up to several inches.",Hopewell Furnace
73,"WA,OR,ID,MT",,"""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon."" 

Public Law 111-11, March 30, 2009",National Geologic Trail,iafl,07D9E506-B86A-4762-801F-2D333F369D5D,"From Spokane

Take I-90 West
At Exit 277, merge onto US-2 toward Davenport/Fairchild AFB/Spokane Airport
Just past Wilbur, turn right onto WA-21
Stay left onto Highway 174
Turn right onto WA-155
Stay on WA-155 past Grand Coulee Dam and into the town of Coulee Dam
Cross the Columbia River and continue on WA-155
Turn right onto Crest Drive and follow up the hill.
The HQ Office is located on the left",https://www.nps.gov/laro/planyourvisit/directions.htm,Ice Age Floods National Geologic Trail,https://www.nps.gov/iafl/index.htm,"The National Geologic Trail is a collection of sites stretched across a four state area, the weather will vary from site to site. Please check the weather for your local region, or the region you'll be visiting, through their respective sites.",Ice Age Floods
74,CA,"lat:37.9828422, long:-122.1326097","John Muir played many roles in his life, all of which helped him succeed in his role as an advocate for Nature. As America’s most famous naturalist and conservationist, Muir fought to protect the wild places he loved, places we can still visit today. Muir’s writings convinced the U.S. government to protect Yosemite, Sequoia, Grand Canyon and Mt. Rainier as national parks.",National Historic Site,jomu,F339067B-A588-4BF3-9D90-1C1BA1249203,Please visit our main website for specific directions to our park. You may call the John Muir Visitor Center for additional information.,http://www.nps.gov/jomu/planyourvisit/directions.htm,John Muir National Historic Site,https://www.nps.gov/jomu/index.htm,"The Mediterranean climate of Martinez features hot, dry summers with lower temperatures near 60º F and upper temperatures near 100º F. The heat gives way to cool, rainy winters with lows near 45º F and highs near 75º F. Fall and spring can bring rain and temperatures from 55-80º F.

March to April: wet/dry, 60-80º F
May to September: very dry, 60-100º+ F
October to November: dry/wet, 55-80º F
December to February: wet, 45-75º F",John Muir
